path_id,node_sequence
P14594,"4-hydroxybutanoic acid lactone (gbl) > esters of methacrylic acid > paints and varnishes based on synthetic polymers > paints and varnishes, based on acrylic or vinyl polymers, in an aqueous medium"
P14589,"4-hydroxybutanoic acid lactone (gbl) > esters of methacrylic acid > vitamins a and their derivatives > depilatories and other perfumery, cosmetic or toilet preparations, nes"
P14591,"4-hydroxybutanoic acid lactone (gbl) > esters of methacrylic acid > vitamins a and their derivatives > medicaments consisting of mixed or unmixed products for therapeutic or prophylactic uses, put up in measured doses or in forms or packings for retail sale, not elsewhere specified or included"
P14588,4-hydroxybutanoic acid lactone (gbl) > esters of methacrylic acid > vitamins a and their derivatives > skin care products
P14595,"4-hydroxybutanoic acid lactone (gbl) > esters of methacrylic acid > vitamins a and their derivatives > medicaments consisting of mixed or unmixed products for therapeutic or prophylactic uses, not elsewhere specified or included"
P14593,"4-hydroxybutanoic acid lactone (gbl) > esters of methacrylic acid > vitamins a and their derivatives > medicaments consisting of mixed or unmixed products, for retail sale, n.e.s."
P14592,"4-hydroxybutanoic acid lactone (gbl) > esters of methacrylic acid > vitamins a and their derivatives > medicaments consisting of mixed or unmixed products, for therapeutic or prophylactic uses, put up in measured doses or in forms or packings for retail sale"
P14587,4-hydroxybutanoic acid lactone (gbl) > esters of methacrylic acid > vitamins a and their derivatives > vitamins and dietary supplements
P14590,4-hydroxybutanoic acid lactone (gbl) > esters of methacrylic acid > vitamins a and their derivatives > weight management products
P14586,4-hydroxybutanoic acid lactone (gbl) > esters of methacrylic acid > vitamins a and their derivatives > chemical compounds for animal health
P42891,acetic acid esters > organic compounds used as pharmaceuticals > antipsychotic medications
P42890,acetic acid esters > organic compounds used as pharmaceuticals > medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes > drugs for muscular dystrophy
P39821,"acid dyes, whether or not pre-metallized, and preparations based thereon > woven fabrics of cotton, dyed, weighing more than 100 g/m² > men's trousers, bib and brace overalls, breeches and shorts"
P47507,acrylic acid > optical media for software > flight simulators
P47373,acrylic acid > optical media for software > portable digital automatic data processing machines weighing not more than 10 kg
P47498,"acrylic acid > optical media for software > processing units other than those of subheading 8471.41 and 8471.49, whether or not containing in the same housing one or two of the following: storage units, input units, output units"
P47434,acrylic acid > optical media for software > processing units other than those of subheadings 8471.41 or 8471.49
P47629,acrylic acid > optical media for software > video games of a kind used with a television receiver
P47565,acrylic acid > acrylic polymer > golf balls
P47561,"acrylic acid > acrylic polymers, in primary forms > hair shampoos"
P47556,acrylic acid > acrylic polymers > eye makeup preparations
P47355,acrylic acid > acrylic polymers > hair care products
P47359,acrylic acid > other acrylic polymers in primary forms > eye make-up preparations
P47363,"acrylic acid > acrylic polymers > household articles and hygienic or toilet articles, of plastics"
P47426,acrylic acid > acrylic polymers > plastic office or school supplies
P47353,acrylic acid > acrylic polymers > plastic protective equipment
P47520,acrylic acid > acrylic polymers > builders' ware of plastics
P47371,acrylic acid > acrylic polymers > fiber optic cables
P47492,"acrylic acid > acrylic polymers > plastic articles for the conveyance or packing of goods, of plastics"
P47586,"acrylic acid > acrylic polymers > plastic tubes, pipes and hoses, not reinforced"
P47544,acrylic acid > other acrylic polymers in primary forms > bromine compounds
P47425,acrylic acid > other acrylic polymers in primary forms > modified cellulose
P47526,"acrylic acid > acrylic polymers, in primary forms > plastic roofing shingles"
P47602,"acrylic acid > acrylic polymers, in primary forms > preparations for treatment of textile materials"
P47392,"acrylic acid > acrylic polymers > glaziers putty, grafting putty, resin cements and other mastics"
P47412,acrylic acid > polymers of acrylic or methacrylic acid > axoguard nerve connector
P47403,acrylic acid > polymers of acrylic acid > dermal fillers
P47399,"acrylic acid > optical media for software > electrical machines and apparatus, having individual functions, not specified or included elsewhere in this chapter > microbiological testing instruments and apparatus"
P47345,acrylic acid > optical media for software > parts and accessories of computers > telephones for cellular networks or for other wireless networks
P47668,acrylic acid > optical media for software > parts and accessories of the machines of heading 8471 > automated order entry systems
P47442,"acrylic acid > optical media for software > parts and accessories of computers > other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment"
P47478,"acrylic acid > optical media for software > parts and accessories of the machines of heading 8471 > processing units other than those of subheading 8471.41 and 8471.49, whether or not containing in the same housing one or two of the following types of units: storage units, input units, output units"
P47650,acrylic acid > optical media for software > parts and accessories of the machines of heading 8471 > voice over internet protocol (voip) products
P10188,"acrylic acid and its salts > acrylic polymers, in primary forms > hair shampoos"
P10309,"acrylic acid and its salts > paints and varnishes based on synthetic polymers > paints and varnishes, based on acrylic or vinyl polymers, in an aqueous medium"
P9910,acrylic acid and its salts > polyethers in primary forms > eye make-up preparations
P10124,acrylic acid and its salts > optical media for software > flight simulators
P9928,acrylic acid and its salts > optical media for software > portable digital automatic data processing machines weighing not more than 10 kg
P10114,"acrylic acid and its salts > optical media for software > processing units other than those of subheading 8471.41 and 8471.49, whether or not containing in the same housing one or two of the following: storage units, input units, output units"
P10009,acrylic acid and its salts > optical media for software > processing units other than those of subheadings 8471.41 or 8471.49
P9905,acrylic acid and its salts > acrylic polymers in primary forms > hair treatment preparations
P10052,"acrylic acid and its salts > polyethers in primary forms > plates, sheets, film, foil and strip of poly(ethylene terephthalate), non-cellular"
P10041,acrylic acid and its salts > vitamin b1 and its derivatives > pain management products
P10007,acrylic acid and its salts > acrylic polymers in primary forms > beauty or make-up preparations for the care of the skin
P10314,acrylic acid and its salts > acrylic polymers in primary forms > cleaning preparations for automobiles
P10133,acrylic acid and its salts > acrylic polymers in primary forms > paints and varnishes (including enamels and lacquers)
P10155,acrylic acid and its salts > acrylic polymers in primary forms > plastic construction materials
P10169,acrylic acid and its salts > acrylic polymers in primary forms > toilet paper and similar paper products
P10139,"acrylic acid and its salts > acrylic polymers, in primary forms > plastic roofing shingles"
P10240,"acrylic acid and its salts > acrylic polymers, in primary forms > preparations for treatment of textile materials"
P9951,"acrylic acid and its salts > polyethers in primary forms > glaziers putty, grafting putty, resin cements and other mastics"
P10135,acrylic acid and its salts > polyethers in primary forms > paints and varnishes (including enamels and lacquers)
P10150,acrylic acid and its salts > acrylic polymers in primary forms > industrial cleaning chemicals
P10301,acrylic acid and its salts > polyethers in primary forms > ion-exchangers based on polymers
P10112,"acrylic acid and its salts > acrylic polymers in primary forms > discs, tapes, solid-state non-volatile storage devices and other media, unrecorded, for sound or other similarly recorded phenomena"
P10094,acrylic acid and its salts > acrylic polymers in primary forms > disinfecting wipes
P10132,"acrylic acid and its salts > acrylic polymers in primary forms > glaziers' putty, grafting putty, resin cements"
P10145,acrylic acid and its salts > acrylic polymers in primary forms > infusion sets
P10154,acrylic acid and its salts > acrylic polymers in primary forms > laminate flooring panels
P10225,"acrylic acid and its salts > acrylic polymers in primary forms > plastic building materials, not elsewhere specified"
P10056,acrylic acid and its salts > acrylic polymers in primary forms > wound dressings and similar articles
P9916,acrylic acid and its salts > acrylic polymers in primary forms > sanitary napkins and diapers
P10276,acrylic acid and its salts > optical media for software > video games of a kind used with a television receiver
P20287,acrylic acid polymers > acrylic polymer > golf balls
P20286,acrylic acid polymers > acrylic polymer > optical media for software > flight simulators
P20283,acrylic acid polymers > acrylic polymer > optical media for software > portable digital automatic data processing machines weighing not more than 10 kg
P20285,"acrylic acid polymers > acrylic polymer > optical media for software > processing units other than those of subheading 8471.41 and 8471.49, whether or not containing in the same housing one or two of the following: storage units, input units, output units"
P20284,acrylic acid polymers > acrylic polymer > optical media for software > processing units other than those of subheadings 8471.41 or 8471.49
P20282,"acrylic acid polymers > acrylic polymer > plates, sheets, film, foil and strip, of plastics, reinforced, laminated, supported or similarly combined with other materials > sanitary napkins and diapers"
P20288,acrylic acid polymers > acrylic polymer > optical media for software > video games of a kind used with a television receiver
P29338,"acrylic polymers in primary forms, other > other articles of plastics > storage units (solid state non-volatile)"
P29395,"acrylic polymers in primary forms, other > other articles of plastics > surgical instruments and appliances"
P29301,"acrylic polymers in primary forms, other > other articles of plastics > gps navigation devices"
P29434,"acrylic polymers in primary forms, other > single yarn, containing 85% or more by weight of acrylic staple fibers > sweaters, pullovers, sweatshirts, waistcoats (vests) and similar articles, of cotton, knitted or crocheted"
P29244,"acrylic polymers in primary forms, other > other articles of plastics > action figures"
P29399,"acrylic polymers in primary forms, other > other articles of plastics > cash registers"
P29231,"acrylic polymers in primary forms, other > other articles of plastics > digital billboards"
P29403,"acrylic polymers in primary forms, other > other articles of plastics > electrical control panels"
P29290,"acrylic polymers in primary forms, other > other articles of plastics > electrical stimulators for pain management"
P29318,"acrylic polymers in primary forms, other > other articles of plastics > in-car video systems"
P29394,"acrylic polymers in primary forms, other > other articles of plastics > instruments for measuring or checking semiconductor wafers or devices"
P29471,"acrylic polymers in primary forms, other > other articles of plastics > live plants and horticultural products"
P29229,"acrylic polymers in primary forms, other > other articles of plastics > medical equipment"
P29440,"acrylic polymers in primary forms, other > other articles of plastics > medical equipment and instruments"
P29377,"acrylic polymers in primary forms, other > other articles of plastics > network equipment (e.g., routers, switches)"
P29336,"acrylic polymers in primary forms, other > other articles of plastics > orthodontic appliances"
P29236,"acrylic polymers in primary forms, other > other articles of plastics > other firearms, sporting, hunting or target-shooting rifles"
P29464,"acrylic polymers in primary forms, other > other articles of plastics > upholstered seats with wooden frames"
P29311,"acrylic polymers in primary forms, other > other articles of plastics > weighing machinery having a maximum weighing capacity exceeding 30 kg but not exceeding 5,000 kg"
P29357,"acrylic polymers in primary forms, other > optical media for software > flight simulators"
P29211,"acrylic polymers in primary forms, other > optical media for software > portable digital automatic data processing machines weighing not more than 10 kg"
P29349,"acrylic polymers in primary forms, other > optical media for software > processing units other than those of subheading 8471.41 and 8471.49, whether or not containing in the same housing one or two of the following: storage units, input units, output units"
P29259,"acrylic polymers in primary forms, other > optical media for software > processing units other than those of subheadings 8471.41 or 8471.49"
P29401,"acrylic polymers in primary forms, other > other articles of plastics > air conditioning machines of a kind used for persons, in motor vehicles"
P29355,"acrylic polymers in primary forms, other > other articles of plastics > air conditioning machines, incorporating a refrigerating unit"
P29243,"acrylic polymers in primary forms, other > other articles of plastics > catheters, cannulae and the like; other devices, appliances"
P29504,"acrylic polymers in primary forms, other > other articles of plastics > furniture for medical, surgical, dental, or veterinary use"
P29456,"acrylic polymers in primary forms, other > other articles of plastics > insulin infusion pumps"
P29427,"acrylic polymers in primary forms, other > other articles of plastics > machines and mechanical appliances having individual functions, not specified elsewhere"
P29430,"acrylic polymers in primary forms, other > other articles of plastics > parts and accessories for office machines"
P42084,"acrylic polymers; in primary forms > products suitable for use as glues or adhesives, put up for retail sale as glues or adhesives, not exceeding a net weight of 1 kg > self-adhesive plastic film > self-adhesive labels"
P42089,"acrylic polymers; in primary forms > products suitable for use as glues or adhesives, put up for retail sale as glues or adhesives, not exceeding a net weight of 1 kg > plywood, veneered panels and similar laminated wood > trailers for housing or camping"
P42080,"acrylic polymers; in primary forms > products suitable for use as glues or adhesives, put up for retail sale as glues or adhesives, not exceeding a net weight of 1 kg > plywood, veneered panels and similar laminated wood > furniture for bedroom use"
