ticker_id,product_id,exposure_bucket
15231,2776,Medium
15231,3120,Medium
15231,4332,Low
15231,2433,Medium
15231,4331,Low
15912,4615,High
15136,6308,Medium
15136,6619,High
15527,4905,Low
15527,9130,Low
15527,14624,Low
15527,10515,Low
15494,4534,Medium
15494,2175,Medium
14895,4761,Medium
14895,12430,Low
14895,2315,Medium
14907,1865,Low
14907,3180,Medium
14907,4909,Low
14936,7218,Medium
14936,8204,Low
14838,204,High
14838,205,Low
14870,9565,Medium
14870,9801,Low
14870,12618,Low
14842,9545,Low
14846,6665,High
14852,6302,Low
14852,6293,High
14855,5097,Low
14855,5201,High
14857,2359,High
14857,9783,Low
14857,1222,Low
14862,13636,High
14862,2349,Low
14862,13002,Low
14890,5369,Medium
14890,6547,Medium
14890,12830,Low
15692,1781,Medium
15692,8263,Low
15692,1782,Low
14905,6662,High
14905,6706,Low
14909,7144,Medium
14909,2725,High
14911,3924,Low
14911,13005,Low
14921,12021,Low
14921,4340,Low
14921,6025,High
15826,6657,High
15860,9398,Low
14937,1100,Low
14937,12706,Low
14965,4511,Medium
14965,2263,High
14837,14580,High
14837,3028,Medium
14841,10068,Low
14841,10070,Low
14841,10069,Low
14841,10067,Medium
14843,6664,Low
14843,4348,Low
14843,5393,Medium
14902,14409,Medium
14902,13298,Low
14902,6747,Low
14902,13163,Low
14932,8288,Low
14932,848,Low
14932,13395,Low
14847,8577,Low
14847,7506,Low
14847,7420,Medium
14847,10583,Low
14917,6638,Medium
14917,2416,Low
15276,4776,Low
15276,4775,Medium
15276,4774,Medium
14868,1009,Low
14868,5392,Low
14868,7943,Low
14853,9848,High
14853,6323,Low
14853,11567,Medium
14856,9753,Low
14856,12140,High
14930,2802,Low
14930,7476,Medium
14839,2241,Low
14839,9856,Low
14839,9196,Low
16000,13824,High
16000,8303,Medium
14859,12859,High
14859,1054,Low
14889,11567,Medium
14889,3554,High
14858,5386,High
14858,9103,Low
14931,242,Medium
14931,250,Low
14931,9857,Low
14945,11671,Medium
14945,13946,High
14863,14027,High
14863,5202,Low
14836,5385,Low
14836,2175,Low
14836,12641,Low
14836,8495,Low
14867,10902,Low
14864,6664,High
14910,804,Low
14910,1715,Low
14910,5151,Medium
14910,8801,Low
14943,167,High
14943,9539,Low
14874,177,Low
14874,5907,Medium
14882,3361,Low
14882,6325,Low
14869,8075,Low
14869,5261,Low
14869,13424,High
14873,6112,Medium
14873,1818,Low
14873,1526,Low
14873,6108,Medium
14850,14821,Low
14850,4337,Low
14850,14101,Low
14876,9036,Low
14876,2836,Low
14876,7935,High
14878,6660,High
14877,12091,High
14879,8519,High
14879,8815,Low
14875,12304,High
14875,11363,Medium
14880,12859,Medium
14880,1381,Low
14880,3899,Low
14883,4598,Medium
14883,4574,High
14881,6664,High
14908,2908,Low
14908,13668,High
14908,5598,Medium
15277,6323,Low
15277,1634,Low
15277,13385,Low
15277,11766,Low
15277,13382,Low
15277,11312,Low
14935,7943,High
14935,8598,Low
14884,4432,Low
14884,12226,Low
14884,2720,Low
15533,2187,High
15533,12489,Low
15533,2189,Low
14886,3483,High
14888,8907,Low
14888,10518,High
14888,351,Low
14928,12469,Low
14928,8707,Medium
14928,12464,Low
14928,4826,Low
14928,12465,Low
14894,9441,Low
14894,4525,Low
14957,3079,High
14957,4558,Low
14957,9075,Medium
14860,6761,Low
14860,14423,Medium
14860,13298,Low
14860,13165,Low
14897,9352,Medium
14897,12859,High
14946,4931,Medium
14946,5340,Medium
14946,4480,Low
14898,14592,High
14898,14567,Low
15237,6670,High
14891,5599,Medium
14891,5600,Medium
14891,6728,Low
14896,6665,High
14896,6702,Low
14896,6683,Low
14892,6699,Low
14912,3332,Medium
14912,5506,Low
14912,5500,Low
14912,1375,Low
14893,7144,Medium
14893,2725,High
14899,6657,High
14903,1842,Medium
14903,7198,Low
14903,657,Medium
14904,6664,High
14904,7944,Medium
14916,6092,Low
14916,7149,High
14916,2728,Low
14913,9933,High
14914,5569,Medium
14914,397,Medium
14914,399,Medium
14914,4642,Low
14840,13307,Low
14840,11309,Low
14840,2849,Low
14840,14395,Low
14840,12488,High
14871,18,Low
14871,4474,Low
14871,1077,Low
14885,7711,Low
14885,9219,Medium
14885,6293,High
14940,10566,Medium
14940,3017,Medium
14940,12671,Medium
14940,10572,Low
14915,5603,Low
14915,3480,Low
14915,14400,High
14844,14029,Medium
14844,6657,High
14918,8022,Medium
14918,1311,High
14849,168,High
14854,2621,Low
14854,2744,Low
14854,12611,Low
14854,11622,Low
14923,4529,High
14923,9560,Low
14845,865,Medium
14845,12929,Medium
14845,2465,Medium
14845,12088,Low
14919,14030,High
14924,6665,High
14887,1674,Low
14887,1676,Low
14920,6657,High
14866,13620,Low
14901,2819,High
14901,11951,Low
14922,3281,High
14925,6779,Low
14925,12549,High
14926,3460,Medium
14926,2891,Low
14926,3444,Low
14927,6657,High
14906,13542,Low
14906,13145,Medium
14906,1004,Medium
14929,2788,Low
14929,6982,Low
14929,7897,Medium
14929,2851,Low
14933,7364,High
14933,4667,Low
14934,2421,Low
14934,2754,Medium
14934,1020,Medium
14934,9920,Medium
14872,11562,Low
14872,8422,High
14942,1350,Medium
14942,5221,Low
14942,3158,Medium
14938,8415,Low
14938,8745,Medium
14938,13006,Low
14861,12378,High
14939,9626,Medium
14939,7513,High
14939,5586,Low
14941,32,Medium
14941,2760,Low
14941,13143,Medium
14944,5215,High
14963,9203,Low
14963,4563,Low
14947,6657,High
14949,7202,High
14949,14623,Low
14949,5391,Medium
14954,5750,Low
14954,2858,Low
14955,12185,Medium
14955,10446,Low
14955,10437,Low
14955,8872,Medium
14951,13380,Low
14951,8268,Medium
14951,3365,Low
15031,7051,High
15031,1295,Low
14950,11292,Low
14950,10328,Low
14950,11596,Low
14950,11149,Medium
15722,6620,High
14953,9052,Low
14953,3444,High
14953,11503,Low
14961,8600,Medium
14961,8840,Low
14961,8842,Low
14851,6293,High
14956,1065,Low
14956,7206,Low
14956,1061,High
14959,13372,Medium
14959,5219,Low
14959,1402,Low
14958,5217,High
14958,9029,Low
14960,6676,High
14964,5269,Medium
14964,2173,Low
14964,5378,Low
14983,14109,Medium
14983,1899,Low
