scenario_id,company_id,occurrence_count,overlap_rank
16776,14844,1,1.0
16776,14899,1,2.0
16776,14920,1,3.0
16776,14927,1,4.0
16776,14947,1,5.0
16777,15387,1,1.0
16778,15387,1,1.0
16779,15601,1,1.0
16780,16029,1,1.0
16782,15121,1,1.0
16782,15176,1,2.0
16782,15204,1,3.0
16782,15307,1,4.0
16782,15696,1,5.0
16783,15318,1,1.0
16783,15398,1,2.0
16783,15449,1,3.0
16785,14863,1,1.0
16787,15031,1,1.0
16788,15401,1,1.0
16789,15638,1,1.0
16790,14844,1,1.0
16790,14899,1,2.0
16790,14920,1,3.0
16790,14927,1,4.0
16790,14947,1,5.0
16791,14838,1,1.0
16792,14843,1,1.0
16792,14986,1,2.0
16792,15055,1,3.0
16792,15144,1,4.0
16792,15353,1,5.0
16793,14838,1,1.0
16794,14843,1,1.0
16794,14864,1,2.0
16794,14881,1,3.0
16794,14904,1,4.0
16794,14969,1,5.0
16795,15158,1,1.0
16796,14904,2,1.0
16796,14843,1,2.0
16796,14864,1,3.0
16796,14881,1,4.0
16796,14969,1,5.0
16798,15912,1,1.0
16799,14844,1,1.0
16799,14899,1,2.0
16799,14920,1,3.0
16799,14927,1,4.0
16799,14947,1,5.0
16800,14844,1,1.0
16800,14899,1,2.0
16800,14920,1,3.0
16800,14927,1,4.0
16800,14947,1,5.0
16801,14858,1,1.0
16801,15417,1,2.0
16801,15421,1,3.0
16801,15423,1,4.0
16801,15479,1,5.0
16802,15318,1,1.0
16802,15398,1,2.0
16802,15449,1,3.0
16803,15121,1,1.0
16803,15176,1,2.0
16803,15204,1,3.0
16803,15307,1,4.0
16803,15696,1,5.0
16805,16029,1,1.0
16806,15158,1,1.0
16807,14846,1,1.0
16807,14896,1,2.0
16807,14924,1,3.0
16807,15015,1,4.0
16807,15079,1,5.0
16808,14863,1,1.0
16810,15458,1,1.0
16811,16029,1,1.0
16812,15318,1,1.0
16812,15398,1,2.0
16812,15449,1,3.0
16814,15733,1,1.0
16815,14891,1,1.0
16816,14891,1,1.0
16817,15049,1,1.0
16817,15083,1,2.0
16817,15122,1,3.0
16817,15899,1,4.0
16818,14841,1,1.0
16819,14841,1,1.0
16820,14843,2,1.0
16820,14986,1,2.0
16820,15055,1,3.0
16820,15144,1,4.0
16820,15353,1,5.0
16821,15060,2,1.0
16822,15315,2,1.0
16822,15068,1,2.0
16822,14839,1,3.0
16822,15064,1,4.0
16822,15639,1,5.0
16823,15161,2,1.0
16823,15584,1,2.0
16823,14999,1,3.0
16823,15155,1,4.0
16823,15416,1,5.0
16824,15589,1,1.0
16825,16023,2,1.0
16825,14988,1,2.0
16825,15023,1,3.0
16825,15157,1,4.0
16825,15356,1,5.0
16826,16015,1,1.0
16827,15506,1,1.0
16827,15687,1,2.0
16828,15557,1,1.0
16829,15707,2,1.0
