path_id,root_id,final_id,depth,cumulative_cost
P14594,0,0,3,0.0375
P14589,0,0,3,0.0375
P14591,0,0,3,0.075
P14588,0,0,3,0.075
P14595,0,0,3,0.1125
P14593,0,0,3,0.1125
P14592,0,0,3,0.1125
P14587,0,0,3,0.15
P14590,0,0,3,0.1537
P14586,0,0,3,0.1875
P42891,0,0,2,1.4
P42890,0,0,3,0.28
P39821,0,0,2,4.0
P47507,0,0,2,0.25
P47373,0,0,2,0.25
P47498,0,0,2,0.25
P47434,0,0,2,0.25
P47629,0,0,2,1.25
P47565,0,0,2,1.5
P47561,0,0,2,1.5
P47556,0,0,2,1.75
P47355,0,0,2,2.0
P47359,0,0,2,2.0
P47363,0,0,2,2.5
P47426,0,0,2,2.5
P47353,0,0,2,2.5
P47520,0,0,2,3.75
P47371,0,0,2,3.75
P47492,0,0,2,3.75
P47586,0,0,2,3.75
P47544,0,0,2,3.75
P47425,0,0,2,3.75
P47526,0,0,2,4.5
P47602,0,0,2,4.5
P47392,0,0,2,5.0
P47412,0,0,2,6.0
P47403,0,0,2,10.0
P47399,0,0,3,0.0125
P47345,0,0,3,0.0125
P47668,0,0,3,0.014
P47442,0,0,3,0.02
P47478,0,0,3,0.0224
P47650,0,0,3,0.0224
P10188,0,0,2,0.75
P10309,0,0,2,0.75
P9910,0,0,2,0.75
P10124,0,0,2,1.0
P9928,0,0,2,1.0
P10114,0,0,2,1.0
P10009,0,0,2,1.0
P9905,0,0,2,1.025
P10052,0,0,2,1.5
P10041,0,0,2,1.575
P10007,0,0,2,2.05
P10314,0,0,2,2.05
P10133,0,0,2,2.05
P10155,0,0,2,2.05
P10169,0,0,2,2.05
P10139,0,0,2,2.25
P10240,0,0,2,2.25
P9951,0,0,2,2.25
P10135,0,0,2,2.25
P10150,0,0,2,2.46
P10301,0,0,2,3.0
P10112,0,0,2,3.075
P10094,0,0,2,3.075
P10132,0,0,2,3.075
P10145,0,0,2,3.075
P10154,0,0,2,3.075
P10225,0,0,2,3.075
P10056,0,0,2,3.075
P9916,0,0,2,4.1
P10276,0,0,2,5.0
P20287,0,0,2,4.0
P20286,0,0,3,0.3
P20283,0,0,3,0.3
P20285,0,0,3,0.3
P20284,0,0,3,0.3
P20282,0,0,3,0.9
P20288,0,0,3,1.5
P29338,0,0,2,0.2
P29395,0,0,2,0.2
P29301,0,0,2,0.4
P29434,0,0,2,0.4
P29244,0,0,2,0.5
P29399,0,0,2,0.5
P29231,0,0,2,0.5
P29403,0,0,2,0.5
P29290,0,0,2,0.5
P29318,0,0,2,0.5
P29394,0,0,2,0.5
P29471,0,0,2,0.5
P29229,0,0,2,0.5
P29440,0,0,2,0.5
P29377,0,0,2,0.5
P29336,0,0,2,0.5
P29236,0,0,2,0.5
P29464,0,0,2,0.5
P29311,0,0,2,0.5
P29357,0,0,2,0.6
P29211,0,0,2,0.6
P29349,0,0,2,0.6
P29259,0,0,2,0.6
P29401,0,0,2,0.8
P29355,0,0,2,0.8
P29243,0,0,2,0.8
P29504,0,0,2,0.8
P29456,0,0,2,0.8
P29427,0,0,2,0.8
P29430,0,0,2,0.8
P42084,0,0,3,0.1
P42089,0,0,3,0.12
P42080,0,0,3,0.15
P42082,0,0,3,0.15
P42085,0,0,3,0.15
P42081,0,0,3,0.15
P42086,0,0,3,0.18
P42088,0,0,3,0.225
P42087,0,0,3,0.3
P42083,0,0,3,0.3
P38721,0,0,2,0.2
P38642,0,0,2,0.3
P38763,0,0,2,0.3
P38753,0,0,2,0.425
P38761,0,0,2,0.5
P38636,0,0,2,0.5
P38714,0,0,2,0.5
P38735,0,0,2,0.6
P38645,0,0,2,0.6
P38728,0,0,2,0.6
P38679,0,0,2,0.6
P38768,0,0,2,0.75
P38750,0,0,2,0.75
P38659,0,0,2,0.8
P38803,0,0,2,0.8
P38671,0,0,2,0.8
P38748,0,0,2,1.0
P38686,0,0,2,1.0
P38705,0,0,2,1.0
P38655,0,0,2,1.05
P38703,0,0,2,1.5
P38663,0,0,2,1.5
P38687,0,0,2,1.5
P38741,0,0,2,1.5
P38651,0,0,2,1.52
P38742,0,0,2,2.05
P38781,0,0,2,2.25
P38749,0,0,2,2.5
P38774,0,0,2,3.0
P38694,0,0,2,3.0
P194,0,0,1,10.0
P196,0,0,2,2.25
P195,0,0,3,0.1875
P193,0,0,3,0.75
P46551,0,0,3,0.1125
P46547,0,0,2,0.25
P46544,0,0,2,0.75
P46540,0,0,2,2.0
P46530,0,0,3,0.025
P46548,0,0,3,0.0375
P46529,0,0,3,0.0375
P46534,0,0,3,0.05
P46546,0,0,3,0.05
P46531,0,0,3,0.0625
P46539,0,0,3,0.0625
P46532,0,0,3,0.0625
P46542,0,0,3,0.0625
P46545,0,0,3,0.0638
P46535,0,0,3,0.075
P46541,0,0,3,0.125
P46533,0,0,3,0.15
P46549,0,0,3,0.175
P46528,0,0,3,0.1875
P46536,0,0,3,0.1875
P46538,0,0,3,0.35
P46543,0,0,3,0.375
P46537,0,0,3,0.525
P20831,0,0,2,0.5
