scenario_id,scenario_type,linked_items,item_count
20205,event,Corn;Soybeans;Wheat,3
20206,event,Crude Oil;Natural Gas,2
16776,location,Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic uses,1
16777,location,IV Infusion Pumps,1
16778,location,Magnetic Resonance Imaging (MRI) Compatible Patient Monitors,1
16779,location,Isolators,1
16780,location,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products",2
16781,location,Aluminum Structures,1
16782,location,Beauty or make-up preparations and preparations for the care of the skin,1
16783,location,Other metal furniture,1
16784,location,Plastic articles not elsewhere specified,1
16785,location,Vaccines for Human Medicine,1
16786,location,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic uses, put up in measured doses or in forms or packings for retail sale, other than vaccines",1
16787,location,Biopharmaceutical Products,1
16788,location,"Machinery for the preparation of fruits, nuts, or vegetables",1
16789,location,Tissue grafts,1
16790,location,Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic uses,1
16791,location,"Air Conditioning Machines Incorporating a Refrigerating Unit, Other",1
16792,location,Instruments and apparatus for physical or chemical analysis,1
16793,location,"Air Conditioning Machines Incorporating a Refrigerating Unit, Other",1
16794,location,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic uses, put up in measured doses",1
16795,location,"Instruments for measuring or checking flow, level, pressure",1
16796,location,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic uses, put up in measured doses;Orthopedic or fracture appliances, and parts and accessories thereof",2
16797,location,Medicaments Containing Hormones or Other Products,1
16798,location,Gene therapy medicinal products,1
16799,location,Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic uses,1
16800,location,Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic uses,1
16801,location,Instruments and apparatus for measuring or checking semiconductor wafers or devices,1
16802,location,Other metal furniture,1
16803,location,Beauty or make-up preparations and preparations for the care of the skin,1
16804,location,Aluminum Structures,1
16805,location,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products",2
16806,location,"Instruments for measuring or checking flow, level, pressure",1
16807,location,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic uses, put up in measured doses or in forms or packings for retail sale",1
16808,location,Vaccines for Human Medicine,1
16809,location,Plastic articles not elsewhere specified,1
16810,location,Heterocyclic compounds with nitrogen hetero-atom(s) only,1
16811,location,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products",2
16812,location,Other metal furniture,1
16813,location,Human or animal substances prepared for therapeutic uses,1
16814,location,"Immunological Products, Unmixed, Not Put Up in Measured Doses",1
16815,location,"Integrated Circuits, Other than Processors and Controllers",1
16816,location,"Integrated Circuits, Other than Processors and Controllers",1
16817,location,"Petroleum oils and oils obtained from bituminous minerals, crude",1
16818,location,Pharmaceutical products (Rinvoq),1
16819,location,Pharmaceutical products (Rinvoq),1
16820,location,"Instruments and apparatus for physical or chemical analysis;Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic uses, put up in measured doses",2
16821,location,Cleaning Products;Disinfecting Wipes,2
16822,location,Parts and accessories of the motor vehicles of headings 8701 to 8705;Parts suitable for use solely or principally with the engines of heading 8407 or 8408,2
16823,location,"Aircraft Launch Gear, Deck-Arrestor or Similar Gear; Ground Flying Trainers;Boring or Sinking Machinery, Not Self-Propelled;Floating or submersible drilling or production platforms;Machines and mechanical appliances with individual functions, not specified elsewhere;Other Pumps;Other Tubes and Pipes, Fittings;Other vessels for the transport of goods and offshore drilling",8
16824,location,Drilling Fluids and Additives,1
16825,location,"Fuel, lubricating or cooling medium pumps for internal combustion piston engines;Instruments and apparatus for measuring or checking pressure;Parts for boring or sinking machinery of subheading 8430.41 or 8430.49",3
16826,location,"Wood in the rough, coniferous, whether or not stripped of bark or sapwood",1
16827,location,Infusion Sets;Insulin Pumps,2
16828,location,Calcium carbonate,1
16829,location,"Bread, pastry, cakes, biscuits and other bakers' wares;Prepared or preserved beef",2
16830,location,"Other tubes, pipes and hollow profiles, welded, of circular cross-section, of iron or non-alloy steel",1
16831,location,"Line pipe of a kind used for oil or gas pipelines, longitudinally welded, of iron or steel;Other, longitudinally welded, of a circular cross-section, of iron or non-alloy steel",2
16832,location,Wooden Kitchen Cabinets and Vanities,1
16833,location,"Petroleum oils and oils obtained from bituminous minerals, crude",1
16834,location,"Spectrometers, spectrophotometers and spectrographs using optical radiations",1
16835,location,"Machines for the reception, conversion and transmission or regeneration of voice, images or other data;Other instruments and apparatus for measuring or checking electrical quantities;Parts and accessories of the machines of heading 8471",3
16836,location,Air Filters for Internal Combustion Engines;Plastic office or school supplies;Pressure Sensors,3
16837,location,"Gold, unwrought",1
16838,location,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic uses;Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic uses, put up in measured doses or in forms or packings for retail sale;Rubber Tubes, Pipes and Hoses with Fittings",3
16839,location,"AC motors, multi-phase, of an output exceeding 750 W but not exceeding 75 kW;Medicaments containing antibiotics;Static converters (e.g., UPS systems)",3
16840,location,"Electronic integrated circuits, amplifiers;Electronic integrated circuits, memories;Electronic integrated circuits, processors and controllers;Integrated circuits, monolithic, digital",4
16841,location,Self-propelled machinery with a 360-degree revolving superstructure,1
16842,location,"Articles of precious or semi-precious stones;Jewelry of silver;New pneumatic tires, of rubber, of a kind used on aircraft;New pneumatic tires, of rubber, of a kind used on buses or lorries;New pneumatic tires, of rubber, of a kind used on motor cars",5
16843,location,"Gold, unwrought",1
16844,location,Petroleum Bitumen,1
16845,location,Towers and lattice masts of iron or steel,1
16846,location,Parts for boring or sinking machinery,1
16847,location,Nerve Repair and Regeneration Products,1
16848,location,"Dental Instruments and Appliances;Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic uses, put up in measured doses;Peppers (Capsicum or Pimenta), fresh or chilled",3
16849,location,Uranium ores and concentrates,1
16850,location,"Needles, Catheters, Cannulae and the Like;Other Appliances Which are Worn or Carried, or Implanted in the Body;Surgical Instruments and Appliances",3
16851,location,Beer made from malt,1
16852,location,Textile Fabrics and Felts for Paper-Making Machines,1
16853,location,"Nickel, Not Alloyed, Unwrought",1
16854,location,Pipe fittings of iron or steel (excluding stainless),1
16855,location,"Flanges, of iron or steel;Valves and similar appliances for pipes, boiler shells, tanks, vats or the like",2
16856,location,"Mineral or Chemical Fertilizers, Nitrogen",1
16857,location,"Furniture of other materials, including cane, osier, bamboo, or similar materials;Mattresses of cellular rubber or plastics, whether or not covered;Metal Structures for Solar Panels;Plasters consisting of calcined gypsum or calcium sulphate;Solar Trackers;Structures and parts of structures, of iron or steel",6
16858,location,Lithium-ion Batteries;Medical Instruments and Appliances,2
16859,location,Switchgear and Switchboard Apparatus,1
16860,location,Mineral Wool Insulation,1
16861,location,"Fruit Juices (excluding orange, grapefruit, apple and grape), unfermented;Other Oil Seeds and Oleaginous Fruits, whether or not broken;Rolled or Flaked Cereal Grains, excluding barley and oats",3
16862,location,Parts and accessories of data processing equipment,1
16863,location,Hand-operated spanners and wrenches;Other food preparations not elsewhere specified or included;Prepared or preserved hams and cuts thereof of swine,3
16864,location,"Boards, Panels, Consoles, Desks, Cabinets and Other Bases, Equipped with Two or More Apparatus for Electric Control or the Distribution of Electricity;Electronic Integrated Circuits;Intraocular Lenses;Machinery, plant or laboratory equipment, whether or not electrically heated;Structures and parts of structures, of iron or steel, n.e.s.;Surgical Instruments and Appliances",6
16865,location,Beauty or make-up preparations and preparations for the care of the skin;Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic uses,2
16866,location,"Other non-alcoholic beverages, not including fruit or vegetable juices",1
16867,location,"Electronic Payment Processing Equipment;Fruit Juices (excluding orange, grapefruit, apple and grape), unfermented;Optical Networking Equipment;Oxygen;Point of Sale Terminals;Telecommunications Equipment",6
16868,location,"Bananas, including plantains, fresh or dried",1
16869,location,"Instruments and apparatus for medical, surgical or veterinary use;Instruments and appliances used in medical, surgical, dental, or veterinary sciences, n.e.s.;Needles, catheters, cannulae and the like;Paper and paperboard, surface-colored, surface-decorated or printed, coated, impregnated or covered with plastics",4
16870,location,Natural Gas,1
16871,location,"Drive-axles with differential, whether or not provided with other transmission components;Sprays and spray parts",2
16872,location,Uranium ores and concentrates,1
16873,location,Uranium ores and concentrates,1
16874,location,Pigments and preparations based on titanium dioxide,1
16875,location,Titanium Dioxide,1
16876,location,Networking Equipment,1
16877,location,"Combined refrigerator-freezers, fitted with separate external doors",1
16878,location,Helicopters,1
16879,location,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic uses, put up in measured doses or in forms or packings for retail sale, nesoi",1
16880,location,Frozen Potatoes;Prepared or Preserved Potatoes,2
16881,location,Parts of Military Weapons,1
16882,location,Honeycomb Cores,1
16883,location,Injection or compression types of molds for rubber or plastics;Parts of machines and mechanical appliances,2
16884,location,"Sanitary towels (pads) and tampons, napkins and napkin liners for babies;Washing and cleaning preparations, put up for retail sale",2
16885,location,"Burglar or fire alarms and similar apparatus;Electric sound or visual signaling apparatus;Other electrical machines and apparatus, having individual functions;Radio navigational aid apparatus",4
16886,location,Water pipe tobacco,1
16887,location,"Catalysts;Coffee, roasted, not decaffeinated",2
16888,location,Light oils and preparations (motor spirit/gasoline),1
16889,location,"Crude Oil;Petroleum Oils and Oils Obtained from Bituminous Minerals, Other than Crude",2
16890,location,Crude Petroleum Oils;Natural Gas;Natural Gas in Gaseous State,3
16891,location,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic uses, put up in measured doses",1
16892,location,"Artificial Heart Valves;Instruments and Appliances for Medical, Surgical or Veterinary Use;Other Instruments and Appliances Used in Medical, Surgical, or Veterinary Sciences",3
16893,location,Electrical apparatus for switching or protecting electrical circuits,1
16894,location,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",1
16895,location,Glass Fiber Rovings,1
16896,location,Surgical Instruments and Appliances,1
16897,location,"Digital processing units;Drugs for Muscular Dystrophy;Electronic integrated circuits;Inductors;Instruments for measuring or checking semiconductor wafers or devices;Medical Instruments and Appliances;Radar apparatus;Static converters (e.g., power supplies, rectifiers)",8
16898,location,"Petroleum oils and oils obtained from bituminous minerals, crude",1
16899,location,"Other fermented beverages (e.g., cider, perry, mead)",1
16900,location,Tractors (other than tractors of heading 8709),1
16901,location,"Sauces and preparations thereof;Seeders, planters, and transplanters",2
16902,location,"Instruments and apparatus for measuring or checking electrical quantities;Instruments and apparatus for measuring or checking semiconductor wafers or devices;Instruments and apparatus, not specified elsewhere in Chapter 90",3
16903,location,Military Vehicles,1
16904,location,"Boards, panels, consoles, desks, cabinets and other bases for electrical control or the distribution of electricity;Sporting Goods;Spray Guns and Similar Appliances",3
16905,location,Electrical Transformers,1
16906,location,Lithium Oxide and Hydroxide,1
16907,location,"Bromine Compounds;Light Oils and Preparations;Parts suitable for use solely or principally with the machinery of heading 8425 to 8430;Petroleum Oils and Oils Obtained from Bituminous Minerals, Other than Crude;Vices, clamps and the like",5
16908,location,Soap and Organic Surface-Active Products for Toilet Use,1
16909,location,Aluminum structures (excluding prefabricated buildings of heading 94.06) and parts of structures,1
16910,location,"Natural Gas, Gaseous",1
16911,location,Petroleum Gases and Other Gaseous Hydrocarbons,1
