Ticker,Company,HS Code,Product Name,Industry,NAICS Code,share_pct
FLWS,"1-800-FLOWERS.COM, Inc.",60390.0,"Cut flowers and flower buds for bouquets or for ornamental purposes, fresh",Floriculture Production,111422.0,34.0
FLWS,"1-800-FLOWERS.COM, Inc.",200899.0,Edible fruit and nut preparations,Fruit and Vegetable Preserving and Specialty Food Manufacturing,311421.0,25.0
FLWS,"1-800-FLOWERS.COM, Inc.",60420.0,"Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, fresh",Floriculture Production,111422.0,4.0
FLWS,"1-800-FLOWERS.COM, Inc.",170490.0,"Confectionery products, including candies and chocolates",Confectionery Manufacturing,311340.0,29.0
FLWS,"1-800-FLOWERS.COM, Inc.",60491.0,"Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, dried",Floriculture Production,111422.0,1.0
TSVT,"2seventy bio, Inc.",300215.0,Gene therapy medicinal products,Pharmaceutical and Medicine Manufacturing,325412.0,100.0
DDD,3D Systems Corporation,847989.0,Machines for additive manufacturing,Machinery Manufacturing,333248.0,49.0
DDD,3D Systems Corporation,901819.0,Medical instruments and appliances,Medical Equipment and Supplies Manufacturing,339112.0,51.0
MMM,3M Company,851830.0,"Headphones and earphones, whether or not combined with a microphone",Manufacturing - Audio and Video Equipment Manufacturing,334310.0,0.4
MMM,3M Company,902690.0,Parts and accessories for measuring or checking instruments,"Manufacturing - Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",334513.0,0.2
MMM,3M Company,300590.0,Wound dressings and similar articles,Manufacturing - Medical Equipment and Supplies Manufacturing,339113.0,7.5
MMM,3M Company,392690.0,Plastic articles for technical uses,Manufacturing - Plastics Product Manufacturing,326199.0,12.0
MASS,908 Devices Inc.,902710.0,Gas or smoke analysis apparatus,Analytical Laboratory Instrument Manufacturing,334516.0,46.8
MASS,908 Devices Inc.,902720.0,Chromatographs and electrophoresis instruments,Analytical Laboratory Instrument Manufacturing,334516.0,31.1
AMRK,"A-Mark Precious Metals, Inc.",710812.0,Gold in unwrought forms,Precious Metal Manufacturing,331410.0,30.0
AMRK,"A-Mark Precious Metals, Inc.",710692.0,Silver in unwrought forms,Precious Metal Manufacturing,331410.0,15.0
AMRK,"A-Mark Precious Metals, Inc.",711890.0,"Coin, other than gold",Numismatic Coin Manufacturing,339910.0,20.0
AOS,A.O. Smith Corporation,840310.0,Central Heating Boilers,Boiler Manufacturing,333414.0,12.0
AOS,A.O. Smith Corporation,851610.0,Electric Water Heaters,Appliance Manufacturing,335220.0,40.0
AOS,A.O. Smith Corporation,841990.0,Heat Exchange Units,Heating Equipment Manufacturing,333414.0,3.0
ATEN,"A10 Networks, Inc.",851762.0,Networking Equipment,Computer and Peripheral Equipment Manufacturing,334118.0,41.0
ATEN,"A10 Networks, Inc.",851769.0,Other Telecommunications Equipment,Communications Equipment Manufacturing,334220.0,3.0
AAON,"AAON, Inc.",841581.0,"Air Conditioning Machines Incorporating a Refrigerating Unit, Other","Heating, Ventilation, and Air Conditioning (HVAC) Equipment Manufacturing",333415.0,85.0
AAON,"AAON, Inc.",841582.0,Air Conditioning Machines Not Incorporating a Refrigerating Unit,"Heating, Ventilation, and Air Conditioning (HVAC) Equipment Manufacturing",333415.0,10.0
AIR,AAR Corp.,880330.0,"Parts of aircraft, spacecraft, or space vehicles",Aerospace Product and Parts Manufacturing,336413.0,40.0
AIR,AAR Corp.,841191.0,Parts of turbojets or turbopropellers,Aerospace Product and Parts Manufacturing,336412.0,10.0
AIR,AAR Corp.,840710.0,Spark-ignition reciprocating or rotary internal combustion piston engines for aircraft,Aerospace Product and Parts Manufacturing,336412.0,0.5
ABM,ABM Industries Incorporated,841590.0,Parts of air conditioning machines,HVAC Equipment Manufacturing,333415.0,3.0
ACAD,ACADIA Pharmaceuticals Inc.,300490.0,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic uses, put up in measured doses or in forms or packings for retail sale",Pharmaceutical and Medicine Manufacturing,325412.0,100.0
ACMR,"ACM Research, Inc.",847989.0,"Machines and mechanical appliances having individual functions, not specified or included elsewhere in this chapter",Semiconductor Machinery Manufacturing,333242.0,5.0
ACMR,"ACM Research, Inc.",848620.0,Machines and apparatus for the manufacture of semiconductor devices or of electronic integrated circuits,Semiconductor Machinery Manufacturing,333242.0,93.0
ADMA,ADMA Biologics Inc,300212.0,Human Immunoglobulin,Pharmaceutical and Medicine Manufacturing,325412.0,3.3
ADMA,ADMA Biologics Inc,300213.0,Immunoglobulin for Intravenous Administration,Pharmaceutical and Medicine Manufacturing,325412.0,92.6
ADTN,"ADTRAN Holdings, Inc.",851762.0,Communication apparatus for digital line systems,Telecommunications Equipment Manufacturing,334210.0,85.2
ADTN,"ADTRAN Holdings, Inc.",851770.0,"Parts of telephone sets and other apparatus for the transmission or reception of voice, images or other data",Telecommunications Equipment Manufacturing,334210.0,12.8
ADTN,"ADTRAN Holdings, Inc.",851761.0,Base stations for wireless networks,Telecommunications Equipment Manufacturing,334210.0,2.0
AGCO,AGCO Corporation,870190.0,Tractors (other than tractors of heading 8709),Agricultural Machinery Manufacturing,333111.0,56.4
AGCO,AGCO Corporation,843351.0,Combine harvester-threshers,Agricultural Machinery Manufacturing,333111.0,9.6
AGCO,AGCO Corporation,843340.0,"Straw or fodder balers, including pick-up balers",Agricultural Machinery Manufacturing,333111.0,4.0
AME,"AMETEK, Inc.",902750.0,Instruments and Apparatus for Physical or Chemical Analysis,Analytical Laboratory Instrument Manufacturing,334516.0,29.0
AME,"AMETEK, Inc.",903180.0,"Measuring or Checking Instruments, Appliances and Machines",Electronic Instrument Manufacturing,334515.0,26.0
AME,"AMETEK, Inc.",850440.0,Static Converters,Electrical Equipment Manufacturing,335999.0,10.0
POWW,"AMMO, Inc.",930621.0,Cartridges for rifles or pistols,Ammunition Manufacturing,332992.0,45.0
POWW,"AMMO, Inc.",930690.0,Other ammunition and projectiles,Ammunition Manufacturing,332992.0,10.3
POWW,"AMMO, Inc.",930630.0,Cartridges for shotguns,Ammunition Manufacturing,332992.0,5.0
ANIP,"ANI Pharmaceuticals, Inc.",300490.0,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic uses, not put up in measured doses or in forms or packings for retail sale",Pharmaceutical Preparation Manufacturing,325412.0,85.0
ANIP,"ANI Pharmaceuticals, Inc.",300420.0,"Medicaments containing other antibiotics, put up in measured doses or for retail sale",Pharmaceutical Preparation Manufacturing,325412.0,5.0
APA,APA Corporation,271121.0,Natural Gas,Natural Gas Extraction,211130.0,28.0
APA,APA Corporation,270900.0,Crude Oil,Oil and Gas Extraction,211120.0,60.4
APG,APi Group Corporation,842410.0,"Fire Extinguishers, Whether or Not Charged",Fire Protection Equipment Manufacturing,339999.0,3.0
