Main Product Name,HS Code,Input Product,Industry,NAICS Code,Percentage Cost
Smartphones,854231,"Processors and controllers, whether or not combined with memories",Semiconductor and Other Electronic Component Manufacturing,334413,15.0
Smartphones,850760,Lithium-ion Batteries,Battery Manufacturing,335911,7.0
Smartphones,854239,"Integrated circuits, other than processors and controllers",Semiconductor and Other Electronic Component Manufacturing,334413,10.0
Smartphones,850440,Power supplies for telecommunications equipment,Electrical Equipment Manufacturing,335999,5.0
Smartphones,853400,Printed circuits,Printed Circuit Assembly (Electronic Assembly) Manufacturing,334418,4.0
Portable Computers (Laptops),847330,Parts and accessories of the machines of heading 8471,Computer and Electronic Product Manufacturing,334111,25.0
Portable Computers (Laptops),854231,"Processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",Semiconductor and Other Electronic Component Manufacturing,334413,15.0
Portable Computers (Laptops),854239,Electronic integrated circuits; n.e.c. in heading no. 8542,Semiconductor and Other Electronic Component Manufacturing,334413,10.0
Portable Computers (Laptops),850440,Static converters; power supplies for automatic data processing machines or units thereof,Electrical Equipment Manufacturing,335999,5.0
Portable Computers (Laptops),854420,"Insulated (including enamelled or anodised) wire, cable, (including co-axial cable) and other insulated electric conductors",Electrical Equipment Manufacturing,335929,3.0
Tablets,854231,Electronic integrated circuits as processors and controllers,Semiconductors and Other Electronic Component Manufacturing,334413,25.0
Tablets,850760,Lithium-ion accumulators (batteries),Battery Manufacturing,335912,15.0
Tablets,847330,Parts and accessories of the machines of heading 8471,Computer Peripheral Equipment Manufacturing,334118,10.0
Tablets,850440,Static converters,Electrical Equipment Manufacturing,335999,8.0
Tablets,851770,Parts for telecommunication equipment,Communications Equipment Manufacturing,334220,5.0
Wireless Earphones,851770,"Parts of telephone sets, telephones for cellular networks or for other wireless networks",Telecommunications Equipment Manufacturing,334220,15.0
Wireless Earphones,854231,Electronic integrated circuits and microassemblies,Semiconductor and Other Electronic Component Manufacturing,334413,25.0
Wireless Earphones,853400,Printed circuits,Printed Circuit Assembly (Electronic Assembly) Manufacturing,334418,10.0
Wireless Earphones,392690,Other articles of plastics and articles of other materials of heading 3901 to 3914,Plastics Product Manufacturing,326199,5.0
Wireless Earphones,850760,Lithium-ion Batteries,Battery Manufacturing,335911,20.0
Desktop Computers,847330,Parts and accessories of computers,Computer and Electronic Product Manufacturing,334118,25.0
Desktop Computers,854231,Electronic integrated circuits,Semiconductor and Other Electronic Component Manufacturing,334413,15.0
Desktop Computers,854239,"Electronic integrated circuits, nes",Semiconductor and Other Electronic Component Manufacturing,334413,10.0
Desktop Computers,852351,"Solid-state, non-volatile storage devices for recording data",Computer Storage Device Manufacturing,334112,10.0
Desktop Computers,850440,Static converters,Electrical Equipment Manufacturing,335999,5.0
Desktop Computers,852341,"Optical media for the recording of sound or other phenomena, unrecorded",Magnetic and Optical Media Manufacturing,334613,2.0
Desktop Computers,852349,"Optical media for the recording of sound or other phenomena, recorded",Magnetic and Optical Media Manufacturing,334613,3.0
Portable Digital Automatic Data Processing Machines,847330,Parts and Accessories of Computers,Computer and Electronic Product Manufacturing,334111,30.0
Portable Digital Automatic Data Processing Machines,854231,Electronic Integrated Circuits,Semiconductor and Other Electronic Component Manufacturing,334413,25.0
Portable Digital Automatic Data Processing Machines,850440,Static Converters,Electrical Equipment Manufacturing,335999,15.0
Portable Digital Automatic Data Processing Machines,850760,Lithium-ion Batteries,Battery Manufacturing,335911,10.0
Portable Digital Automatic Data Processing Machines,847170,Storage Units,Computer and Peripheral Equipment Manufacturing,334112,5.0
"Machines for the Reception, Conversion and Transmission of Voice, Images or Other Data",854231,"Processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",Semiconductor and Other Electronic Component Manufacturing,334413,25.0
"Machines for the Reception, Conversion and Transmission of Voice, Images or Other Data",854232,Memories,Semiconductor and Other Electronic Component Manufacturing,334413,15.0
