Company Name,Product Name,Location,Latitude,Longitude
Apple Inc.,Smartphones,"Zhengzhou, China",34.7466,113.6253
Apple Inc.,Smartphones,"Shenzhen, China",22.5431,114.0579
Apple Inc.,Smartphones,"Chengdu, China",30.5728,104.0668
Apple Inc.,Smartphones,"Bangalore, India",12.9716,77.5946
Apple Inc.,Smartphones,"Sriperumbudur, India",12.9906,79.9714
Apple Inc.,Portable Computers (Laptops),"Zhengzhou, Henan, China",34.7466,113.6254
Apple Inc.,Portable Computers (Laptops),"Chengdu, Sichuan, China",30.5728,104.0668
Apple Inc.,Portable Computers (Laptops),"Shanghai, China",31.2304,121.4737
Apple Inc.,Portable Computers (Laptops),"Shenzhen, Guangdong, China",22.5431,114.0579
Apple Inc.,Tablets,"Zhengzhou, Henan, China",34.7466,113.6253
Apple Inc.,Tablets,"Chengdu, Sichuan, China",30.5728,104.0668
Apple Inc.,Tablets,"Shenzhen, Guangdong, China",22.5431,114.0579
Apple Inc.,Tablets,"Bangalore, Karnataka, India",12.9716,77.5946
Apple Inc.,Wireless Earphones,"Zhengzhou, China",34.7466,113.6254
Apple Inc.,Wireless Earphones,"Shenzhen, China",22.5431,114.0579
Apple Inc.,Wireless Earphones,"Chennai, India",13.0827,80.2707
Apple Inc.,Wireless Earphones,"Bangalore, India",12.9716,77.5946
Apple Inc.,Wireless Earphones,Vietnam,14.0583,108.2772
Apple Inc.,Desktop Computers,"Austin, Texas, USA",30.2672,-97.7431
Apple Inc.,Desktop Computers,"Cork, Ireland",51.8985,-8.4756
Microsoft Corporation,Portable Digital Automatic Data Processing Machines,"Shenzhen, China",22.543096,114.057865
Microsoft Corporation,Portable Digital Automatic Data Processing Machines,"Suzhou, China",31.298979,120.585290
Microsoft Corporation,Portable Digital Automatic Data Processing Machines,"Chengdu, China",30.572815,104.066801
NVIDIA Corporation,Electronic Integrated Circuits as Processors and Controllers,"Santa Clara, California, USA",37.3688,-121.9680
NVIDIA Corporation,Electronic Integrated Circuits as Processors and Controllers,"Austin, Texas, USA",30.2672,-97.7431
NVIDIA Corporation,Electronic Integrated Circuits as Processors and Controllers,"Yokneam, Israel",32.6640,35.1043
NVIDIA Corporation,Electronic Integrated Circuits as Processors and Controllers,"Hyderabad, India",17.3850,78.4867
NVIDIA Corporation,Parts and Accessories of Machines of Heading 8471,"Santa Clara, California, USA",37.3688,-121.9680
NVIDIA Corporation,Parts and Accessories of Machines of Heading 8471,"Taipei, Taiwan",25.0330,121.5654
NVIDIA Corporation,Parts and Accessories of Machines of Heading 8471,"Shenzhen, China",22.5431,114.0579
Alphabet Inc.,"Machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus","Sunnyvale, California, USA",37.3861,-122.0839
Alphabet Inc.,"Machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus","Mountain View, California, USA",37.3861,-122.0839
Alphabet Inc.,"Machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus","Council Bluffs, Iowa, USA",41.2619,-95.8608
Alphabet Inc.,"Machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus","The Dalles, Oregon, USA",45.5946,-121.1787
Alphabet Inc.,"Machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus","Lenoir, North Carolina, USA",35.9140,-81.5389
Alphabet Inc.,"Machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus","Changhua County, Taiwan",24.0518,120.5160
Alphabet Inc.,"Machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus","St. Ghislain, Belgium",50.4500,3.8167
Alphabet Inc.,"Reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus","Mountain View, California, USA",37.3861,-122.0839
Alphabet Inc.,"Reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus","Shenzhen, Guangdong, China",22.5431,114.0579
Alphabet Inc.,"Reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus","Hsinchu, Taiwan",24.8138,120.9675
"Meta Platforms, Inc.",Networking Equipment,"Prineville, Oregon, USA",44.2986,-120.8342
"Meta Platforms, Inc.",Networking Equipment,"Forest City, North Carolina, USA",35.3344,-81.8651
"Meta Platforms, Inc.",Networking Equipment,"Altoona, Iowa, USA",41.6448,-93.4607
"Meta Platforms, Inc.",Networking Equipment,"Luleå, Sweden",65.5848,22.1544
"Meta Platforms, Inc.",Networking Equipment,"Odense, Denmark",55.4038,10.4024
"Meta Platforms, Inc.",Virtual Reality Headsets,"Goleta, California, USA",34.4358,-119.8276
"Meta Platforms, Inc.",Virtual Reality Headsets,"Cork, Ireland",51.8985,-8.4756
"Meta Platforms, Inc.",Augmented Reality Glasses,"Sunnyvale, California, USA",37.3688,-122.0363
"Meta Platforms, Inc.",Augmented Reality Glasses,"Menlo Park, California, USA",37.4845,-122.1477
"Flowers Foods, Inc.","Rusks, toasted bread and similar toasted products","Thomasville, Georgia, USA",30.8366,-83.9784
"Flowers Foods, Inc.","Rusks, toasted bread and similar toasted products","Villa Rica, Georgia, USA",33.7321,-84.9191
"Avnet, Inc.",Electronic Integrated Circuits,"Guadalajara, Mexico",20.6597,-103.3496
"Avnet, Inc.",Electronic Integrated Circuits,"Penang, Malaysia",5.4164,100.3327
"Avnet, Inc.",Electronic Integrated Circuits,Singapore,1.3521,103.8198
"Avnet, Inc.",Electronic Integrated Circuits,"Shenzhen, China",22.5431,114.0579
"Avnet, Inc.",Parts and Accessories of Computers,"Phoenix, Arizona, USA",33.4484,-112.0740
"Avnet, Inc.",Parts and Accessories of Computers,Singapore,1.3521,103.8198
"Avnet, Inc.",Parts and Accessories of Computers,"Munich, Germany",48.1351,11.5820
"Avnet, Inc.",Parts and Accessories of Computers,"Shanghai, China",31.2304,121.4737
"Avnet, Inc.",Printed Circuits,"Phoenix, Arizona, USA",33.4484,-112.0740
"Avnet, Inc.",Printed Circuits,"Guadalajara, Jalisco, Mexico",20.6597,-103.3496
"Avnet, Inc.",Printed Circuits,"Munich, Bavaria, Germany",48.1351,11.5820
"Rambus, Inc.",Electronic integrated circuits,"Sunnyvale, California, USA",37.3688,-122.0363
Dutch Bros Inc.,"Coffee, roasted, not decaffeinated","Grants Pass, Oregon",42.4390,-123.3284
PAR Technology Corporation,Point of Sale Terminals,"New Hartford, New York, USA",43.0707,-75.2879
PAR Technology Corporation,Point of Sale Terminals,"San Diego, California, USA",32.7157,-117.1611
PAR Technology Corporation,Monitors for Point of Sale Systems,"New Hartford, New York, USA",43.0697,-75.2974
PAR Technology Corporation,Automated Order Entry Systems,"New Hartford, New York, USA",43.0690,-75.2873
Hillman Solutions Corp.,Screws and bolts,"Cincinnati, Ohio, USA",39.1031,-84.5120
Hillman Solutions Corp.,Screws and bolts,"Rock Island, Illinois, USA",41.5095,-90.5787
Hillman Solutions Corp.,Screws and bolts,"Tempe, Arizona, USA",33.4255,-111.9400
Hillman Solutions Corp.,"Hooks, eyes and eyelets","Cincinnati, Ohio, USA",39.1031,-84.5120
Hillman Solutions Corp.,"Hooks, eyes and eyelets","Tempe, Arizona, USA",33.4255,-111.9400
