Product Name,Location,Latitude,Longitude
"Cathode Materials (e.g., NMC, NCA)","Ezhou, Hubei, China",30.3610,114.8949
"Cathode Materials (e.g., NMC, NCA)","Xiantao, Hubei, China",30.3708,113.4429
"Cathode Materials (e.g., NMC, NCA)","Zunyi, Guizhou, China",27.7255,106.9272
"Cathode Materials (e.g., NMC, NCA)","Chungju, South Korea",36.9903,127.9260
"Cathode Materials (e.g., NMC, NCA)","Dunkirk, France",51.0344,2.3768
"Cathode Materials (e.g., NMC, NCA)","Jingmen, Hubei, China",31.0354,112.1993
"Cathode Materials (e.g., NMC, NCA)","Chengdu, Sichuan, China",30.5728,104.0668
"Cathode Materials (e.g., NMC, NCA)","Huizhou, Guangdong, China",23.1115,114.4152
"Cathode Materials (e.g., NMC, NCA)","Qujing, Yunnan, China",25.4899,103.7962
"Cathode Materials (e.g., NMC, NCA)","St. Petersburg, Russia",59.9343,30.3351
"Cathode Materials (e.g., NMC, NCA)","Kulim District, Kedah, Malaysia",5.3648,100.5610
"Cathode Materials (e.g., NMC, NCA)","Debrecen, Hungary",47.5316,21.6273
Miniature Electric Motors,"Cheonan, South Korea",36.8150,127.1139
Miniature Electric Motors,"Dongguan, China",23.0205,113.7518
Miniature Electric Motors,"Hsinchu, Taiwan",24.8138,120.9675
Miniature Electric Motors,"Aguascalientes, Mexico",21.8853,-102.2916
Miniature Electric Motors,"Pune, India",18.5204,73.8567
Miniature Electric Motors,"Roanoke, Virginia, USA",37.2709,-79.9414
Miniature Electric Motors,"Shanghai, China",31.2304,121.4737
Miniature Electric Motors,Singapore,1.3521,103.8198
Nickel Alloy Wire,"Danyang, Jiangsu Province, China",32.0101,119.6065
Nickel Alloy Wire,"Stockport, United Kingdom",53.4084,-2.1496
Nickel Alloy Wire,"Huntington, West Virginia, USA",38.4192,-82.4452
Nickel Alloy Wire,"Jaipur, Rajasthan, India",26.9124,75.7873
Nickel Alloy Wire,"Freeport, Illinois, USA",42.2967,-89.6212
Nickel Alloy Wire,"Schwerte, Germany",51.4436,7.5670
Nickel Alloy Wire,"Kokomo, Indiana, USA",40.4864,-86.1336
Electronic integrated circuits,"Hsinchu Science and Industrial Park, Hsinchu, Taiwan",24.7849,120.9909
Electronic integrated circuits,"Kiryat Gat, Israel",31.6086,34.7642
Electronic integrated circuits,"Chandler, Arizona, USA",33.3062,-111.8413
Electronic integrated circuits,"Dresden, Germany",51.0504,13.7373
Electronic integrated circuits,"Bangalore, India",12.9716,77.5946
Electronic integrated circuits,"Nanjing, China",32.0603,118.7969
Electronic integrated circuits,"Pyeongtaek, South Korea",36.9925,127.1124
Electronic integrated circuits,"Aizu-Wakamatsu, Japan",37.4946,139.9298
